0	0	0	0	0	4411	Liechtenstein
0	0	0	0	111	4510	Lithuania
0	0	119	131	112	4239	Luxembourg
0	0	0	0	113	5660	Macao
0	0	0	0	114	4794	Macedonia.Former.Yugosla
130	164500	24	25	115	7880	Madagascar
133	164540	25	26	116	7970	Malawi
24	454580	94	100	117	5570	Malaysia
151	454620	0	0	118	5683	Maldive.Islands
138	164660	26	27	119	7450	Mali
78	574700	120	132	120	4730	Malta
0	0	0	0	121	6810	Marshall.Islands
0	0	0	0	122	2839	Martinique
128	164780	27	28	123	7410	Mauritania
104	164800	28	29	124	7850	Mauritius
0	0	0	0	125	0	Mayotte
16	334840	60	64	126	2010	Mexico
0	0	0	0	127	6820	Micronesia.Federated.Sta
171	448960	0	0	0	0	MIDDLE.EAST.NES
0	0	0	0	128	4641	Moldova
149	484960	0	101	129	4272	Mongolia
0	0	0	0	0	5740	Mongolia
0	0	0	0	0	2485	Montserrat
54	135040	29	30	130	7140	Morocco
113	165080	30	31	131	7870	Mozambique
102	451040	82	102	132	0	Myanmar
0	0	0	32	133	7920	Namibia
0	0	0	0	0	6862	Nauru
0	0	0	0	0	5460	Nepal
129	455240	95	103	134	5360	Nepal
9	535280	121	133	135	4210	Netherlands
67	355320	0	0	136	2771	Netherlands.Antilles
96	725400	0	0	137	6412	New.Caledonia
53	715540	133	147	138	6141	New.Zealand
127	345580	61	65	139	2190	Nicaragua
143	165620	31	33	140	7510	Niger
57	165660	32	34	141	7530	Nigeria
0	0	0	0	0	6144	Niue
0	0	0	0	0	6022	Norfolk.Island
0	0	0	0	142	9610	Northern.Mariana.Islands
173	138960	0	0	0	0	NORTH.AFRICA.NES
31	555780	122	134	143	4039	Norway
65	445120	96	104	144	5230	Oman
116	168960	0	0	0	0	OTHER.AFRICA.NES
163	578960	0	0	0	0	OTHER.EUR.NES
156	728960	0	0	0	0	OTHER.OCEANIA.NES
51	455860	97	105	145	5350	Pakistan
0	0	0	0	0	6830	Palau
49	365900	62	66	146	2250	Panama
115	725980	134	148	147	6040	Papua.New.Guinea
79	336000	74	80	148	3530	Paraguay
62	336040	75	81	149	3330	Peru
37	456080	98	106	150	5650	Phillipines
0	0	0	0	0	6225	Pitcairn.Island
42	586160	123	135	151	4550	Poland
32	536200	124	136	152	4710	Portugal
0	0	0	0	153	0	Puerto.Rico
94	446340	0	107	154	5180	Qatar
160	368960	0	0	0	0	REST.AMERICA.NES
85	166380	0	35	155	7904	Reunion.Islands
56	586420	0	137	156	4850	Romania
0	0	0	0	157	4621	Russian.Federation
152	166460	33	36	158	7690	Rwanda
0	0	0	0	162	4751	San.Marino
0	0	0	0	163	7644	Sao.Tome.and.Principe
26	446820	99	108	164	5170	Saudi.Arabia
105	166860	34	37	165	7440	Senegal
146	166900	35	38	166	7800	Seychelles
150	166940	36	39	167	7470	Sierra.Leone
12	457020	100	109	168	5590	Singapore
0	0	0	0	169	4359	Slovak.Republic
0	0	0	0	170	4792	Slovenia
159	720900	135	149	171	6223	Solomon.Islands
153	167060	37	40	172	7700	Somalia
40	117100	38	41	173	7910	South.Africa
13	537240	125	138	174	4700	Spain
77	451440	101	110	175	5420	Sri.Lanka
165	166540	0	0	0	7580	St.Helena
99	356580	0	68	159	2483	St.Kitts.and.Nevis
162	226660	0	0	0	1610	St.Pierre.and.Miquelon
0	356620	63	69	160	2487	St..Lucia
0	356700	64	70	161	2488	St..Vincent.and.the.Gren
117	137360	39	42	176	7320	Sudan
120	367400	76	82	177	3150	Suriname
0	0	0	0	0	4031	Svalbard,.Jan.Mayen.Island
0	0	40	43	178	7950	Swaziland
21	557520	126	139	179	4010	Sweden
18	557560	127	140	180	4419	Switzerland
70	447600	102	111	181	5020	Syrian.Arab.Republic
17	458960	103	112	0	5830	Taiwan
0	0	0	0	182	4642	Tajikistan
107	168340	41	44	183	7830	Tanzania
22	457640	104	113	184	5490	Thailand
131	167680	42	45	185	7520	Togo
0	0	0	0	0	6143	Tokelau.Islands
0	727760	136	150	186	6864	Tonga
91	357800	65	71	187	2740	Trinidad.And.Tobago
58	137880	43	46	188	7230	Tunisia
27	447920	128	141	189	4890	Turkey
0	0	0	0	190	4643	Turkmenistan
164	357960	0	0	0	2430	Turks.and.Caicos.Islands
0	0	0	0	0	6227	Tuvalu
144	168000	44	47	191	7780	Uganda
0	0	0	0	192	4623	Ukraine
38	447840	105	114	193	5200	United.Arab.Emirates
4	538260	129	142	194	4120	United.Kingdom
15	999999	0	0	0	0	UNKNOWN.PARTNER
74	338580	77	83	196	3550	Uruguay
0	0	0	0	0	9800	US.outlying.Islands
1	218400	66	72	195	0	USA
25	688100	0	143	0	0	USSR
0	0	0	0	197	4644	Uzbekistan
0	0	137	151	198	6224	Vanuatu
0	0	0	0	0	4752	Vatican.City
44	338620	78	84	199	3070	Venezuela
63	487040	0	0	200	5520	VIETNAM
0	0	0	0	201	9110	Virgin.Islands.(U.S.)
0	0	0	0	0	6413	Wallis.and.Futuna
0	0	0	0	0	5083	West.Bank.Admin.by.Israel
0	0	0	0	0	6150	Western.Samoa
169	137320	138	0	202	7370	Western.Sahara
86	448870	106	115	203	5210	Yemen
43	598900	130	144	204	4799	Yugoslavia
124	161800	45	48	205	0	Zaire
106	168940	46	49	206	7940	Zambia
93	167160	47	50	207	7960	Zimbabwe
